iter	Passed	Remaining
686	22951	3775
687	22984	3741
688	23016	3708
689	23049	3674
690	23081	3641
691	23114	3607
692	23147	3573
693	23178	3540
694	23211	3506
695	23243	3473
696	23276	3439
697	23308	3406
698	23342	3372
699	23377	3339
700	23411	3306
701	23444	3272
702	23477	3239
703	23511	3206
704	23545	3172
705	23578	3139
706	23610	3105
707	23643	3072
708	23676	3038
709	23709	3005
710	23743	2972
711	23780	2939
712	23816	2906
713	23849	2872
714	23883	2839
715	23916	2805
716	23950	2772
717	23985	2739
718	24019	2705
719	24054	2672
720	24088	2639
721	24120	2605
722	24154	2572
723	24187	2539
724	24220	2505
725	24252	2472
726	24285	2438
727	24319	2405
728	24352	2371
729	24383	2338
730	24417	2304
731	24449	2271
732	24482	2237
733	24519	2204
734	24552	2171
735	24586	2137
736	24619	2104
737	24652	2071
738	24685	2037
739	24719	2004
740	24749	1970
741	24781	1937
742	24816	1903
743	24849	1870
744	24884	1837
745	24919	1803
746	24955	1770
747	24988	1737
748	25023	1703
749	25056	1670
750	25090	1637
751	25122	1603
752	25157	1570
753	25190	1536
754	25224	1503
755	25258	1470
756	25290	1436
757	25323	1403
758	25354	1369
759	25387	1336
760	25421	1302
761	25454	1269
762	25487	1235
763	25520	1202
764	25553	1169
765	25586	1135
766	25618	1102
767	25650	1068
768	25683	1035
769	25716	1001
770	25749	968
771	25784	935
772	25817	901
773	25849	868
774	25881	834
775	25914	801
776	25947	768
777	25982	734
778	26014	701
779	26027	667
780	26060	633
781	26093	600
782	26127	567
783	26160	533
784	26194	500
785	26228	467
786	26262	433
787	26295	400
788	26328	367
789	26363	333
790	26396	300
791	26430	266
792	26464	233
793	26499	200
794	26532	166
795	26565	133
796	26598	100
797	26632	66
798	26665	33
799	26698	0
